Le nombre de pattes d'une abeille est :;8;6;4;6
Quelle planète est souvent appelée la "planète rouge" ?;Jupiter;Mars;Vénus;Mars
Quel est le plus grand satellite naturel de la Terre ?;Lune;Titan;Mars;Lune
Quel pays se trouve à l'est de la France ?;Royaume-Uni;Espagne;Allemagne;Allemagne
Quelle est la capitale de la France ?;Nantes;Paris;Marseille;Paris
Quelle est la langue officielle de la France ?;Espagnol;Français;Anglais;Français
Dans quel continent se trouve la France ?;Amérique du Nord;Afrique;Europe;Europe
Quelle est la montagne la plus haute de France ?;Mont Aigoual;Mont Ventoux;Mont Blanc;Mont Blanc
Quel groupe d'animaux a vécu il y a très longtemps et inclut des créatures comme le Tyrannosaure Rex ?;Lions;Dauphins;Dinosaures;Dinosaures
Dans quel pays se situe Londres ?;France;Royaume-Uni;Angleterre;Angleterre
Quelle musique a été choisie pour être l'hymne nationale française ?;La Marseillaise;Ode à la joie;Lettre à Elise;La Marseillaise
Qui a écrit Les Misérables ?;Gustave Flaubert;Victor Hugo;Molière;Victor Hugo
Quel était le métier de Van Gogh ?;Poète;Ingénieur;Peintre;Peintre
Comment dit-on Ordinateur en anglais ?;Phone;Computer;Screen;Computer
Quel est le nom du célèbre monument qui se trouve à Paris et qui a servi à la télécommunication ?;Tour Eiffel;Statue de la Liberté;Arc de Triomphe;Tour Eiffel
Qui a peint La Joconde ?;Léonard De Vinci;Claude Monet;Michelangelo;Léonard De Vinci
Les habitants de l'Espagne sont les :;Hispaniques;Espanois;Espagnols;Espagnols
A qu'elle espéces appartiennent les chiens ?;Mammifères;Poissons;Oiseaux;Mammifères
Combien de côtés possède un hexagone ?;Cinq;Six;Sept;Six
Quelle est la planète la plus proche du Soleil ?;Mars;Mercure;Saturne;Mercure
qu'est ce que le soleil ?;Une étoile;Un satellite;Une planète;Une étoile
Comment s'appelle notre galaxie ?;Système solaire;Voie Lactée;Andromède;Voie Lactée
A quelle famille appartient les araignées:;Insectes;Arachnides;Mammifères;Arachnides
Quand a débuté la Première Guerre Mondial ?;1910;1914;1918;1914
En quelle année la Révolution française a-t-elle commencé ?;1789;1804;1815;1789
Quel pays a la plus grande superficie au monde ?;États-Unis;Chine;Russie;Russie
Sur quel continent se trouve l'Égypte ?;Afrique;Asie;Europe;Afrique
Quelle planète du système solaire est connue pour ses anneaux ?;Saturne;Jupiter;Uranus;Saturne
Quelle est la seule planète du système solaire sur laquelle l'eau existe à l'état liquide ?;Mars;Terre;Vénus;Terre
Lequel de ces dinosaures était un carnivore ?;Brachiosaure;Stégosaure;Vélociraptor;Vélociraptor
Quel est le nom du dinosaure à trois cornes ?;Tricératops;Ankylosaure;Allosaure;Tricératops
Dans Harry Potter, comment s’appelle l’école de magie ?;Poudlard;Beauxbâtons;Durmstrang;Poudlard
Quel pays a remporté la Coupe du Monde de football en 2018 ?;Brésil;France;Allemagne;France
Quelle société a développé l’iPhone ?;Microsoft;Samsung;Apple;Apple
